GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Sun Dec 23 18:07:51 GMT 2018

Main Iterations


Simulation Number	Main Iteration	Step Number	Es_tot	Es_heat	Es_cool	Es_light	Q_heat	Q_cool	E_lights	windowLength	windowWidth	setpointT	setpointS	slatAng
19	19	1	2.5982544439963177E10	2.1340482776161102E10	1.0294732038493059E9	3.61258845995277E9	1.3337801735100687E10	9.358847307720962E8	1.0947237757432637E9	2.0	1.7	24.5	740.0	85.0	Generation 2.
20	20	1	2.909564225735728E10	2.3505423012189552E10	8.027894892158077E8	4.787429755951919E9	1.469088938261847E10	7.298086265598251E8	1.4507362896823997E9	3.4	0.8	13.5	640.0	25.0	Generation 2.
21	21	1	2.4488673228154194E10	1.911089409739703E10	1.5526129419642491E9	3.825166188792917E9	1.1944308810873142E10	1.41146631087659E9	1.159141269331187E9	4.5	1.7	10.5	440.0	20.0	Generation 2.
21	22	1	2.504649623905763E10	1.9167290988690174E10	2.654727343388586E9	3.2244779069788694E9	1.1979556867931358E10	2.4133884939896235E9	9.771145172663242E8	4.6	1.8	5.0	560.0	70.0	Generation 2.
22	23	1	2.7010998903951584E10	2.2176911275586308E10	8.704306308545023E8	3.963656997510772E9	1.3860569547241442E10	7.913005735040929E8	1.2011081810638704E9	2.4	1.4	15.0	580.0	40.0	Generation 2.
23	24	1	3.0788878449553825E10	2.495303000063878E10	4.621405641062462E8	5.373707884808801E9	1.5595643750399237E10	4.2012778555113286E8	1.6283963287299397E9	4.5	0.9	7.0	320.0	25.0	Generation 2.
23	25	1	2.2952044531527927E10	1.7777190915285084E10	1.6610059159481776E9	3.5138477002946663E9	1.1110744322053177E10	1.5100053781347067E9	1.0648023334226261E9	3.6	2.1	12.5	440.0	25.0	Generation 2.
24	26	1	2.519815984924288E10	2.052769186606619E10	5.760141191626925E8	4.0944538640139995E9	1.2829807416291367E10	5.236491992388113E8	1.2407435951557574E9	3.2	1.2	24.5	260.0	45.0	Generation 2.
25	27	1	2.846521638381578E10	2.303480557985668E10	8.164924129538298E8	4.613918391005269E9	1.4396753487410425E10	7.42265829958027E8	1.398157088183415E9	3.7	0.7	21.0	780.0	35.0	Generation 2.
26	28	1	2.5377126148570854E10	2.06078025669736E10	9.497572876554147E8	3.8195662939418406E9	1.28798766043585E10	8.634157160503769E8	1.1574443314975276E9	3.0	1.5	14.0	480.0	40.0	Generation 2.
27	29	1	2.392896657203518E10	1.4636512700375166E10	6.060630423186279E9	3.231823448473731E9	9.147820437734478E9	5.509664021078435E9	9.793404389314337E8	5.4	1.7	25.0	500.0	40.0	Generation 2.
28	30	1	2.434493952505789E10	1.890703807779596E10	1.7358774877832568E9	3.702023959478675E9	1.1816898798622475E10	1.5780704434393241E9	1.1218254422662652E9	4.3	1.1	29.0	780.0	35.0	Generation 2.
29	31	1	2.8396726446924343E10	2.3177560149085564E10	7.857814878537627E8	4.433384809985017E9	1.4485975093178476E10	7.143468071397842E8	1.343449942419702E9	2.6	1.0	18.0	680.0	60.0	Generation 2.
30	32	1	2.4464701936856915E10	1.89825123124245E10	1.579826858699626E9	3.9023627657327876E9	1.1864070195265312E10	1.436206235181478E9	1.182534171434178E9	5.3	0.9	20.0	680.0	40.0	Generation 2.
31	33	1	3.1647975713890175E10	2.5710888649549343E10	3.4509216528689486E8	5.591994899053936E9	1.6069305405968338E10	3.137201502608135E8	1.694543908804223E9	3.0	1.0	8.5	280.0	20.0	Generation 3.
32	34	1	2.4361916900779167E10	1.9305489627169125E10	1.644002258912472E9	3.4124250146975713E9	1.2065931016980701E10	1.4945475081022472E9	1.0340681862719914E9	4.6	1.4	9.5	500.0	75.0	Generation 3.
33	35	1	2.477109980526014E10	1.994672746381179E10	1.2554127045131204E9	3.5689596369352293E9	1.2466704664882368E10	1.1412842768301094E9	1.081502920283403E9	2.8	1.5	20.0	640.0	85.0	Generation 3.
34	36	1	2.8190121944658382E10	2.2677917623585186E10	9.266776156118251E8	4.585526705461373E9	1.417369851474074E10	8.4243419601075E8	1.389553547109507E9	3.8	0.8	14.0	680.0	30.0	Generation 3.
35	37	1	2.411170481447069E10	1.8809898194281303E10	1.5342371901304433E9	3.7675694300589437E9	1.1756186371425814E10	1.3947610819367666E9	1.1416877060784678E9	4.2	1.8	11.0	440.0	20.0	Generation 3.
36	38	1	2.4991866725341473E10	1.911664277646203E10	2.6507460419005723E9	3.2244779069788694E9	1.1947901735288767E10	2.40976912900052E9	9.771145172663242E8	4.6	1.8	5.5	560.0	65.0	Generation 3.
37	39	1	2.5522396624684986E10	2.0604035380752377E10	1.2634430226495025E9	3.6549182212831073E9	1.2877522112970234E10	1.1485845660450022E9	1.1075509761463962E9	3.1	1.5	12.0	580.0	50.0	Generation 3.
38	40	1	2.8716529724391907E10	2.3332234519232555E10	5.960385467781497E8	4.788256658381205E9	1.4582646574520346E10	5.418532243437724E8	1.4509868661761227E9	4.6	1.1	8.0	360.0	25.0	Generation 3.
38	41	1	2.2952044531527927E10	1.7777190915285084E10	1.6610059159481776E9	3.5138477002946663E9	1.1110744322053177E10	1.5100053781347067E9	1.0648023334226261E9	3.6	2.1	12.5	440.0	25.0	Generation 3.
39	42	1	2.332963516544075E10	1.881619657544505E10	6.422246923593469E8	3.871213897636354E9	1.1760122859653156E10	5.83840629417588E8	1.1730951204958649E9	3.3	1.5	21.0	320.0	40.0	Generation 3.
40	43	1	2.827961868941897E10	2.2844960125029068E10	8.349530855947496E8	4.599705478795153E9	1.4278100078143166E10	7.590482596315905E8	1.3938501450894403E9	3.4	0.8	20.0	680.0	40.0	Generation 3.
41	44	1	2.4204635863482777E10	1.946859238607309E10	1.0641653339358593E9	3.6718781434738283E9	1.2167870241295681E10	9.674230308507811E8	1.1126903465072207E9	3.2	1.7	13.5	460.0	35.0	Generation 3.
42	45	1	2.2669553766253437E10	1.4857914309403904E10	4.553871654199861E9	3.2577678026496725E9	9.28619644337744E9	4.1398833219998727E9	9.872023644392947E8	4.9	1.8	21.5	480.0	35.0	Generation 3.
43	46	1	2.334852943355916E10	1.7247557375360798E10	2.579024531668378E9	3.521947526529984E9	1.0779723359600498E10	2.3445677560621614E9	1.0672568262212074E9	4.9	1.2	29.5	700.0	40.0	Generation 3.
44	47	1	2.7901122003563683E10	2.2585862725869785E10	8.876668553895854E8	4.427592422304312E9	1.4116164203668615E10	8.069698685359867E8	1.341694673425549E9	3.2	0.9	17.5	700.0	50.0	Generation 3.
45	48	1	2.303683353273974E10	1.6946148219039717E10	2.517879667848662E9	3.572805645851362E9	1.0591342636899822E10	2.288981516226056E9	1.082668377530716E9	5.6	1.1	23.0	640.0	45.0	Generation 3.
46	49	1	3.0160015692398506E10	2.4512338393416E10	3.9007326910861915E8	5.257604029873888E9	1.5320211495885E10	3.546120628260174E8	1.5932133423860269E9	3.3	1.1	9.5	300.0	20.0	Generation 4.
47	50	1	2.4180589503138462E10	1.9047526193244198E10	1.7246181321657453E9	3.4084451777285204E9	1.1904703870777622E10	1.567834665605223E9	1.0328621750692487E9	4.6	1.4	10.0	520.0	75.0	Generation 4.
48	51	1	2.4636190128919304E10	1.978718784377017E10	1.2549290184549172E9	3.5940732666942167E9	1.2366992402356354E10	1.1408445622317429E9	1.0891131111194596E9	3.1	1.4	18.5	600.0	85.0	Generation 4.
49	52	1	2.781886278957647E10	2.2319484416703922E10	9.938534255708758E8	4.505524947301668E9	1.394967776043995E10	9.035031141553415E8	1.3653105900914147E9	4.0	0.8	14.0	700.0	30.0	Generation 4.
50	53	1	2.4198922687998108E10	1.895600757937061E10	1.4611382720477154E9	3.7817768365797834E9	1.184750473710663E10	1.3283075200433776E9	1.1459929807817526E9	4.1	1.8	11.0	440.0	20.0	Generation 4.
50	54	1	2.4991866725341473E10	1.911664277646203E10	2.6507460419005723E9	3.2244779069788694E9	1.1947901735288767E10	2.40976912900052E9	9.771145172663242E8	4.6	1.8	5.5	560.0	65.0	Generation 4.
51	55	1	2.543219997495648E10	2.0480064022491806E10	1.369236986476947E9	3.582898965987724E9	1.2800040014057379E10	1.2447608967972245E9	1.0857269593902194E9	3.3	1.5	11.0	580.0	55.0	Generation 4.
52	56	1	2.7736503570690056E10	2.2505617666562023E10	6.918501934752165E8	4.539035710652819E9	1.4066011041601263E10	6.289547213411058E8	1.3754653668644905E9	4.6	1.2	8.5	380.0	25.0	Generation 4.
52	57	1	2.2952044531527927E10	1.7777190915285084E10	1.6610059159481776E9	3.5138477002946663E9	1.1110744322053177E10	1.5100053781347067E9	1.0648023334226261E9	3.6	2.1	12.5	440.0	25.0	Generation 4.
53	58	1	2.289649819549234E10	1.8411524277864616E10	6.965596991398672E8	3.788414218487857E9	1.1507202673665384E10	6.33236090127152E8	1.148004308632684E9	3.3	1.6	19.5	340.0	40.0	Generation 4.
54	59	1	2.7637232463682793E10	2.2361825220402416E10	8.70362688147408E8	4.40504455513297E9	1.3976140762751509E10	7.912388074067345E8	1.3348619864039304E9	3.3	0.9	19.5	640.0	40.0	Generation 4.
55	60	1	2.355487971852613E10	1.880350864168278E10	1.1838770033819618E9	3.5674940734613895E9	1.1752192901051737E10	1.0762518212563288E9	1.081058810139815E9	3.3	1.8	13.5	460.0	35.0	Generation 4.
56	61	1	2.2182156917113007E10	1.5115389100709217E10	3.78592714699166E9	3.2808406694121304E9	9.44711818794326E9	3.4417519518106E9	9.941941422461002E8	4.7	1.8	20.0	480.0	35.0	Generation 4.
57	62	1	2.315356134778468E10	1.6394116993902222E10	3.33129728392839E9	3.4281470699540687E9	1.0246323121188889E10	3.0284520762985363E9	1.0388324454406269E9	5.1	1.3	29.5	680.0	40.0	Generation 4.
58	63	1	2.7481351382930214E10	2.2183631076590836E10	9.514107677663351E8	4.346309538573044E9	1.3864769422869272E10	8.649188797875773E8	1.317063496537286E9	3.4	0.9	17.5	720.0	45.0	Generation 4.
59	64	1	2.294879158359491E10	1.622029490060089E10	3.25652949295313E9	3.4719671900408907E9	1.0137684312875555E10	2.960481357230118E9	1.0521112697093608E9	5.7	1.2	24.0	620.0	45.0	Generation 4.
60	65	1	2.8113908157219345E10	2.2805368178455257E10	4.471644419549444E8	4.861375536809143E9	1.4253355111534534E10	4.065131290499494E8	1.473144102063377E9	3.6	1.2	11.0	320.0	20.0	Generation 5.
61	66	1	2.3368287252831482E10	1.8159042698779827E10	1.7988548547724402E9	3.410389699279214E9	1.134940168673739E10	1.6353225952476728E9	1.0334514240240042E9	4.6	1.4	12.0	540.0	70.0	Generation 5.
62	67	1	2.408503713968359E10	1.9205849902282055E10	1.334959922074212E9	3.544227315327323E9	1.2003656188926283E10	1.2135999291583745E9	1.074008277371916E9	3.4	1.4	17.0	580.0	85.0	Generation 5.
63	68	1	2.735864704793482E10	2.188369604689165E10	1.0461631100076007E9	4.428787891035568E9	1.3677310029307281E10	9.510573727341824E8	1.342056936677445E9	4.2	0.8	15.0	700.0	30.0	Generation 5.
63	69	1	2.4198922687998108E10	1.895600757937061E10	1.4611382720477154E9	3.7817768365797834E9	1.184750473710663E10	1.3283075200433776E9	1.1459929807817526E9	4.1	1.8	11.0	440.0	20.0	Generation 5.
64	70	1	2.4588608486734806E10	1.8896646659135384E10	2.4622016449525514E9	3.229760182646871E9	1.1810404161959614E10	2.2383651317750463E9	9.787152068626883E8	4.5	1.8	7.0	540.0	60.0	Generation 5.
65	71	1	2.4993732382330795E10	2.0041957005926907E10	1.4255466043740418E9	3.5262287720298448E9	1.2526223128704315E10	1.295951458521856E9	1.0685541733423772E9	3.4	1.5	11.5	580.0	60.0	Generation 5.
66	72	1	2.6950224006237602E10	2.1812060866234375E10	8.004734559715313E8	4.337689684031697E9	1.3632538041396484E10	7.27703141792301E8	1.3144514194035447E9	4.5	1.3	9.0	400.0	25.0	Generation 5.
67	73	1	2.239871565321737E10	1.7087598996202967E10	1.8364629390462613E9	3.4746537179681387E9	1.0679749372626854E10	1.6695117627693284E9	1.0529253690812542E9	3.7	2.1	13.5	440.0	25.0	Generation 5.
68	74	1	2.296087660202271E10	1.847712827297084E10	6.792056571557779E8	3.804542671896091E9	1.1548205170606775E10	6.174596883234345E8	1.1528917187563913E9	3.3	1.6	19.0	340.0	40.0	Generation 5.
69	75	1	2.6842047191809402E10	2.1720699829339554E10	9.238740752865354E8	4.1974732871833124E9	1.3575437393337221E10	8.398855229877594E8	1.2719616021767614E9	3.3	1.0	19.5	600.0	40.0	Generation 5.
70	76	1	2.2715684845113136E10	1.77311038192162E10	1.5188903941331105E9	3.4656906317638254E9	1.1081939887010126E10	1.3808094492119186E9	1.0502092823526744E9	3.6	1.8	14.5	480.0	35.0	Generation 5.
71	77	1	2.2041953556784836E10	1.5234653644617613E10	3.515888331098293E9	3.2914115810689306E9	9.521658527886007E9	3.196262119180266E9	9.97397448808767E8	4.6	1.8	19.5	480.0	35.0	Generation 5.
72	78	1	2.318261190238028E10	1.5914765583692793E10	3.899326600452432E9	3.3685197182350554E9	9.946728489807995E9	3.544842364047665E9	1.0207635509803199E9	5.1	1.4	28.5	640.0	40.0	Generation 5.
73	79	1	2.689538933491204E10	2.1609772742783337E10	1.0400662998444685E9	4.245550292284239E9	1.3506107964239584E10	9.455148180404258E8	1.2865303916012845E9	3.7	0.9	18.0	720.0	45.0	Generation 5.
74	80	1	2.2969226970867E10	1.582696435017987E10	3.7356029143591366E9	3.40665970632799E9	9.89185271886242E9	3.3960026494173965E9	1.032321123129694E9	5.6	1.3	24.0	600.0	45.0	Generation 5.
75	81	1	2.3942192812610073E10	1.9153877964538296E10	6.989367856573005E8	4.089378062414477E9	1.1971173727836433E10	6.353970778702731E8	1.2392054734589324E9	4.0	1.4	14.5	380.0	25.0	Generation 6.
76	82	1	2.24866427100184E10	1.6472355118427387E10	2.622379153766838E9	3.391908437824172E9	1.0295221949017117E10	2.3839810488789434E9	1.0278510417649007E9	4.8	1.4	18.5	600.0	60.0	Generation 6.
77	83	1	2.3499675551449345E10	1.8515303307714703E10	1.5075570577895763E9	3.476815185945064E9	1.1572064567321688E10	1.370506416172342E9	1.0535803593772922E9	3.9	1.4	15.0	560.0	80.0	Generation 6.
78	84	1	2.517202335530405E10	1.9800179933993782E10	1.368979879628221E9	4.00286354168205E9	1.2375112458746113E10	1.2445271632983828E9	1.2129889520248637E9	4.8	0.9	18.5	680.0	35.0	Generation 6.
79	85	1	2.3413103377948833E10	1.8106653590072475E10	1.6215584758806012E9	3.6848913119957576E9	1.1316658493795298E10	1.4741440689823647E9	1.1166337309078054E9	4.0	1.9	12.0	440.0	20.0	Generation 6.
80	86	1	2.3442449798257355E10	1.856358411485926E10	1.5047819110776865E9	3.3740837723204074E9	1.1602240071787037E10	1.3679835555251694E9	1.0224496279758811E9	4.0	1.7	11.5	460.0	50.0	Generation 6.
81	87	1	2.4303007952089226E10	1.938107213387206E10	1.434339622258921E9	3.4875961959582458E9	1.2113170083670036E10	1.3039451111444736E9	1.0568473321085594E9	3.4	1.5	13.5	580.0	70.0	Generation 6.
82	88	1	2.483228507024136E10	1.9804596995990814E10	1.164888890441413E9	3.862799183809133E9	1.2377873122494259E10	1.0589899004012843E9	1.1705452072148888E9	4.2	1.5	11.0	440.0	30.0	Generation 6.
83	89	1	2.1729670649229523E10	1.5961617779402952E10	2.418975552716802E9	3.34907731710977E9	9.976011112126844E9	2.1990686842880015E9	1.0148719142756879E9	4.0	2.0	16.0	460.0	30.0	Generation 6.
84	90	1	2.208426551925178E10	1.7539199866822136E10	9.083620961830469E8	3.6367035562465973E9	1.0961999916763834E10	8.257837238027699E8	1.102031380680787E9	3.4	1.8	17.5	380.0	35.0	Generation 6.
85	91	1	2.4682301779653614E10	1.9826294619871174E10	1.0813173745182402E9	3.7746897852641983E9	1.2391434137419483E10	9.830157950165819E8	1.1438453894739995E9	3.4	1.3	18.0	540.0	40.0	Generation 6.
86	92	1	2.2412071253731903E10	1.7184677772703247E10	1.7881856218584466E9	3.4392078591702075E9	1.074042360793953E10	1.6256232925985878E9	1.0421841997485478E9	3.7	1.9	14.5	480.0	30.0	Generation 6.
86	93	1	2.2041953556784836E10	1.5234653644617613E10	3.515888331098293E9	3.2914115810689306E9	9.521658527886007E9	3.196262119180266E9	9.97397448808767E8	4.6	1.8	19.5	480.0	35.0	Generation 6.
87	94	1	2.3088318788096195E10	1.5738387354437275E10	4.0134838746246448E9	3.336447559034276E9	9.836492096523296E9	3.648621704204222E9	1.0110447148588716E9	4.9	1.5	26.0	620.0	40.0	Generation 6.
88	95	1	2.473146343483568E10	1.9424607092047436E10	1.4492735528172417E9	3.857582789971002E9	1.2140379432529648E10	1.3175214116520379E9	1.1689644818093946E9	4.5	1.0	20.0	680.0	45.0	Generation 6.
89	96	1	2.2667087038442696E10	1.5729645079014854E10	3.552142535793893E9	3.385299423633948E9	9.831028174384283E9	3.2292204870853567E9	1.0258483101921055E9	5.3	1.4	22.5	580.0	40.0	Generation 6.
90	97	1	2.180440062718007E10	1.6752637813610834E10	1.4228345200997448E9	3.6289282934694886E9	1.0470398633506771E10	1.2934859273634043E9	1.0996752404452996E9	4.3	1.6	17.0	420.0	30.0	Generation 7.
91	98	1	2.2615259246559406E10	1.6239144143731209E10	2.990299030348697E9	3.3858160724794993E9	1.0149465089832005E10	2.718453663953361E9	1.0260048704483331E9	4.9	1.4	21.0	620.0	55.0	Generation 7.
92	99	1	2.2943066588170776E10	1.7776890456240257E10	1.732943461580743E9	3.4332326703497763E9	1.111055653515016E10	1.5754031468915844E9	1.0403735364696292E9	4.3	1.4	15.0	560.0	75.0	Generation 7.
93	100	1	2.3316217138462925E10	1.7719192759141003E10	1.9515637560632203E9	3.6454606232587E9	1.1074495474463127E10	1.774148869148382E9	1.1046850373511212E9	5.1	1.1	20.5	640.0	40.0	Generation 7.
94	101	1	2.2390669961464188E10	1.6917614393327427E10	1.9856238372403517E9	3.487431730896409E9	1.0573508995829641E10	1.8051125793094106E9	1.0567974942110331E9	4.0	2.0	13.5	440.0	25.0	Generation 7.
95	102	1	2.263217392762497E10	1.8009023600131287E10	1.1119343275456629E9	3.511215999948021E9	1.1255639750082054E10	1.0108493886778752E9	1.0640048484690974E9	3.7	1.7	14.5	420.0	45.0	Generation 7.
96	103	1	2.3911701766077652E10	1.89854847907062E10	1.4661019907649693E9	3.4601149846064854E9	1.1865927994191374E10	1.3328199916045175E9	1.0485196923049957E9	3.6	1.5	13.5	560.0	70.0	Generation 7.
97	104	1	2.3396146108032585E10	1.833061660806738E10	1.4579151722373393E9	3.6076143277278676E9	1.145663538004211E10	1.3253774293066719E9	1.0932164629478388E9	4.0	1.7	12.5	460.0	30.0	Generation 7.
98	105	1	2.168454273449458E10	1.5572178740422342E10	2.7862696191766324E9	3.3260943748956027E9	9.732611712763964E9	2.5329723810696654E9	1.0079073863320009E9	4.1	2.0	17.0	460.0	30.0	Generation 7.
99	106	1	2.180315577532188E10	1.6938680179488626E10	1.3326694076373105E9	3.531806188195941E9	1.0586675112180391E10	1.2115176433066459E9	1.0702442994533155E9	3.6	1.9	16.5	420.0	30.0	Generation 7.
100	107	1	2.3672905377576797E10	1.8909653386977962E10	1.0994753558455777E9	3.663776634753256E9	1.1818533366861227E10	9.995230507687069E8	1.110235343864623E9	3.4	1.5	17.0	480.0	40.0	Generation 7.
101	108	1	2.206352815369352E10	1.653447286279345E10	2.166910996031452E9	3.3621442948686194E9	1.0334045539245905E10	1.9699190873013198E9	1.0188316045056423E9	3.8	2.0	15.0	480.0	30.0	Generation 7.
102	109	1	2.1954696863731735E10	1.5264865100135782E10	3.4229304681324863E9	3.2669012954634657E9	9.540540687584864E9	3.111754971029533E9	9.899700895343837E8	4.4	1.9	18.5	480.0	35.0	Generation 7.
103	110	1	2.2810641047065712E10	1.54965757800514E10	4.009912775742576E9	3.304152491271738E9	9.685359862532124E9	3.645375250675069E9	1.0012583306884055E9	4.8	1.6	23.5	580.0	40.0	Generation 7.
104	111	1	2.3389107412304516E10	1.78259117888866E10	1.918712246885316E9	3.6444833765326004E9	1.1141194868054125E10	1.7442838608048325E9	1.1043889019795759E9	5.0	1.1	21.5	640.0	45.0	Generation 7.
105	112	1	2.2283041992737522E10	1.5715287465278873E10	3.176281431497764E9	3.3914730959608846E9	9.822054665799295E9	2.8875285740888762E9	1.0277191199881469E9	5.0	1.5	21.0	540.0	35.0	Generation 7.
106	113	1	2.1627071076322086E10	1.602048262169145E10	2.1295820768867743E9	3.477006377743861E9	1.0012801638557156E10	1.9359837062607038E9	1.0536382962860186E9	4.4	1.7	18.0	440.0	30.0	Generation 8.
107	114	1	2.2501988278350502E10	1.645243376200113E10	2.651127752882371E9	3.3984267634670043E9	1.0282771101250706E10	2.4101161389839735E9	1.0298262919596983E9	4.8	1.4	19.0	600.0	55.0	Generation 8.
108	115	1	2.263416169544354E10	1.7336553865325176E10	1.8808023422655973E9	3.416805487852765E9	1.0835346165828234E10	1.709820311150543E9	1.0353956023796258E9	4.5	1.4	15.5	560.0	70.0	Generation 8.
109	116	1	2.2818938620347748E10	1.690732065768177E10	2.3742138466555424E9	3.537404116010436E9	1.0567075411051105E10	2.1583762242323112E9	1.0719406412152838E9	5.2	1.2	21.0	620.0	40.0	Generation 8.
110	117	1	2.2213973832685062E10	1.6700354830922565E10	2.0362514262859294E9	3.477367575476567E9	1.0437721769326603E10	1.8511376602599356E9	1.0537477501444143E9	4.0	2.0	14.0	440.0	25.0	Generation 8.
111	118	1	2.2431646607152035E10	1.7856818988993874E10	9.617210540261804E8	3.6131065641319823E9	1.116051186812117E10	8.742918672965275E8	1.0948807770096917E9	3.6	1.7	16.0	400.0	40.0	Generation 8.
112	119	1	2.373632811472162E10	1.882729889253216E10	1.459254269534084E9	3.4497749526553717E9	1.17670618078326E10	1.3265947904855309E9	1.0453863492895066E9	3.7	1.5	13.5	540.0	70.0	Generation 8.
113	120	1	2.2758354439738605E10	1.7646061459108604E10	1.5909062609653733E9	3.5213867196646276E9	1.1028788411942877E10	1.4462784190594301E9	1.0670868847468569E9	3.9	1.8	13.5	460.0	30.0	Generation 8.
114	121	1	2.168448111631615E10	1.551326637037977E10	2.849198660727633E9	3.322016085208747E9	9.695791481487356E9	2.5901806006614842E9	1.0066715409723476E9	4.1	2.0	17.5	460.0	30.0	Generation 8.
115	122	1	2.1911593113025364E10	1.6832963775955467E10	1.6011805345559742E9	3.4774488025139236E9	1.0520602359972166E10	1.4556186677781582E9	1.0537723643981588E9	3.7	1.9	16.0	440.0	30.0	Generation 8.
116	123	1	2.328450796752794E10	1.857417599039381E10	1.0935666030851445E9	3.6167653740489864E9	1.1608859993996132E10	9.941514573501314E8	1.0959895072875717E9	3.4	1.6	16.5	460.0	40.0	Generation 8.
117	124	1	2.192294202783374E10	1.6209072264003727E10	2.3696982176087437E9	3.344171546221266E9	1.0130670165002329E10	2.1542711069170394E9	1.0133853170367472E9	3.9	2.0	15.5	480.0	30.0	Generation 8.
