GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Sun Dec 23 16:37:36 GMT 2018

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	Es_tot	Es_heat	Es_cool	Es_light	Q_heat	Q_cool	E_lights	windowLength	windowHeight
11	11	1	1	3.2014466584098446E10	2.5995546578516125E10	4.719441968601035E8	5.546975808722217E9	1.6247216611572577E10	4.290401789637304E8	1.6809017602188537E9	2.6	0.5	Generation 1.
12	12	1	1	2.3799816251824757E10	1.505151239417959E10	5.523825950666298E9	3.2244779069788694E9	9.407195246362244E9	5.021659955151179E9	9.771145172663242E8	4.6	1.8	Generation 1.
13	13	1	1	3.54833203324738E10	2.8599462047061165E10	2.471681706337049E8	6.63669011477893E9	1.7874663779413227E10	2.2469833693973172E8	2.011118216599676E9	0.2	1.2	Generation 1.
14	14	1	1	2.8772572088504845E10	2.3337555527853683E10	7.755738315234016E8	4.659442729127758E9	1.458597220490855E10	7.050671195667287E8	1.4119523421599267E9	4.9	0.5	Generation 1.
15	15	1	1	2.4930752246909943E10	1.9874397959428078E10	1.397711527600957E9	3.6586427598809085E9	1.2421498724642548E10	1.270646843273597E9	1.108679624206336E9	3.2	1.3	Generation 1.
16	16	1	1	2.918565450436743E10	2.3704628662970467E10	7.272483814671503E8	4.753777459929814E9	1.481539291435654E10	6.611348922428639E8	1.440538624221156E9	3.8	0.6	Generation 1.
17	17	1	1	3.576240895874246E10	2.8739998059803444E10	2.3924310054078266E8	6.783167798398233E9	1.796249878737715E10	2.1749372776434785E8	2.0555053934540102E9	0.6	0.3	Generation 2.
17	18	1	1	2.4352864527099056E10	1.8796610109670403E10	1.787252324127649E9	3.7690020933010063E9	1.1747881318544E10	1.6247748401160445E9	1.1421218464548504E9	4.8	1.0	Generation 2.
18	19	1	1	3.0906686527937504E10	2.5245443426118896E10	5.461860636117985E8	5.115057038206809E9	1.577840214132431E10	4.96532785101635E8	1.5500172843050938E9	1.8	0.9	Generation 2.
19	20	1	1	3.060901949242567E10	2.493935266494229E10	5.900752698348758E8	5.079591557648501E9	1.5587095415588932E10	5.364320634862507E8	1.5392701689843946E9	5.9	0.3	Generation 2.
20	21	1	1	2.891557958035157E10	1.3898284100594797E10	1.1883121640159885E10	3.134173839596885E9	8.686427562871748E9	1.0802837854690804E10	9.497496483626926E8	5.9	2.0	Generation 2.
21	22	1	1	2.96589983590433E10	1.3850829763313622E10	1.2678164519127033E10	3.130004076602646E9	8.656768602071012E9	1.1525604108297302E10	9.484860838189837E8	6.1	2.0	Generation 2.
22	23	1	1	2.8908989058931217E10	2.3558898704811356E10	7.369565213828719E8	4.613133832736989E9	1.4724311690507095E10	6.699604739844289E8	1.397919343253633E9	2.6	0.9	Generation 2.
23	24	1	1	2.6996668384940002E10	2.2165712297359863E10	9.056452833413731E8	3.9253108042387676E9	1.3853570185849915E10	8.233138939467027E8	1.1894881224965963E9	2.3	1.3	Generation 2.
24	25	1	1	2.9076008672582973E10	2.435776568038268E10	6.141783245616245E8	4.1040646676386695E9	1.5223603550239174E10	5.583439314196587E8	1.243655959890506E9	1.2	1.7	Generation 2.
24	26	1	1	2.9403550486777725E10	2.3902832506132923E10	7.050438806216483E8	4.795674100023154E9	1.4939270316333076E10	6.409489823833166E8	1.4532345757645922E9	4.4	0.5	Generation 2.
25	27	1	1	3.0834182977427895E10	2.509989704028985E10	5.664949043389227E8	5.16779103279912E9	1.5687435650181154E10	5.1499536758083886E8	1.5659972826664E9	2.8	0.6	Generation 2.
25	28	1	1	2.3799816251824757E10	1.505151239417959E10	5.523825950666298E9	3.2244779069788694E9	9.407195246362244E9	5.021659955151179E9	9.771145172663242E8	4.6	1.8	Generation 2.
26	29	1	1	3.3968902432123276E10	2.7558473095655037E10	3.2358051179470325E8	6.086848824673536E9	1.7224045684784397E10	2.941641016315484E8	1.8444996438404658E9	0.6	1.1	Generation 2.
26	30	1	1	2.8772572088504845E10	2.3337555527853683E10	7.755738315234016E8	4.659442729127758E9	1.458597220490855E10	7.050671195667287E8	1.4119523421599267E9	4.9	0.5	Generation 2.
26	31	1	1	2.4930752246909943E10	1.9874397959428078E10	1.397711527600957E9	3.6586427598809085E9	1.2421498724642548E10	1.270646843273597E9	1.108679624206336E9	3.2	1.3	Generation 2.
27	32	1	1	2.808239097745643E10	2.268975629727273E10	8.588722885232233E8	4.533762391660471E9	1.4181097685795456E10	7.807929895665666E8	1.3738673914122639E9	3.9	0.7	Generation 2.
28	33	1	1	3.4859333292158325E10	2.8078347859514095E10	2.8550170275289476E8	6.495483729891337E9	1.754896741219631E10	2.595470025026316E8	1.968328402997375E9	1.1	0.4	Generation 3.
28	34	1	1	2.4352864527099056E10	1.8796610109670403E10	1.787252324127649E9	3.7690020933010063E9	1.1747881318544E10	1.6247748401160445E9	1.1421218464548504E9	4.8	1.0	Generation 3.
29	35	1	1	3.0116506686618336E10	2.460678069354573E10	6.152147532037348E8	4.89451123986887E9	1.537923793346608E10	5.592861392761225E8	1.483185224202688E9	2.1	0.9	Generation 3.
30	36	1	1	2.9419229375275524E10	2.392230203296289E10	7.052003044683539E8	4.791727037844279E9	1.4951438770601807E10	6.410911858803216E8	1.4520384963164482E9	5.5	0.4	Generation 3.
31	37	1	1	2.661428298581153E10	1.4169211218639313E10	9.282028841336302E9	3.163042925835913E9	8.85575701164957E9	8.438208037578455E9	9.584978563139131E8	5.5	1.9	Generation 3.
32	38	1	1	2.8218904129712303E10	1.396992217579462E10	1.1099402937273607E10	3.1495790166440744E9	8.731201359871637E9	1.009036630661237E10	9.544178838315377E8	6.0	1.9	Generation 3.
32	39	1	1	2.8908989058931217E10	2.3558898704811356E10	7.369565213828719E8	4.613133832736989E9	1.4724311690507095E10	6.699604739844289E8	1.397919343253633E9	2.6	0.9	Generation 3.
33	40	1	1	2.5691287586542973E10	2.084600734245323E10	1.1486468430506618E9	3.696633401039079E9	1.302875458903327E10	1.0442244027733289E9	1.120191939708812E9	2.6	1.4	Generation 3.
34	41	1	1	2.736924072117276E10	2.2780324178442917E10	8.051240702342151E8	3.7837924724956293E9	1.4237702611526823E10	7.319309729401956E8	1.14660377954413E9	1.6	1.7	Generation 3.
35	42	1	1	2.9274525009360126E10	2.378866475894124E10	7.189507693252499E8	4.766909481093639E9	1.4867915474338274E10	6.535916084774998E8	1.4445180245738301E9	4.5	0.5	Generation 3.
36	43	1	1	2.9647713954357113E10	2.4106154691897125E10	6.775560299809617E8	4.864003232479027E9	1.5066346682435703E10	6.159600272554196E8	1.473940373478493E9	3.0	0.7	Generation 3.
36	44	1	1	2.3799816251824757E10	1.505151239417959E10	5.523825950666298E9	3.2244779069788694E9	9.407195246362244E9	5.021659955151179E9	9.771145172663242E8	4.6	1.8	Generation 3.
37	45	1	1	3.2838542533822342E10	2.672545554351091E10	3.960630233169031E8	5.717023966994531E9	1.6703409714694319E10	3.600572939244574E8	1.732431505149858E9	1.0	1.0	Generation 3.
38	46	1	1	2.7625559633001736E10	2.2256687921042E10	9.25796119618491E8	4.443075592341244E9	1.3910429950651249E10	8.416328360168099E8	1.3463865431337104E9	4.9	0.6	Generation 3.
38	47	1	1	2.4930752246909943E10	1.9874397959428078E10	1.397711527600957E9	3.6586427598809085E9	1.2421498724642548E10	1.270646843273597E9	1.108679624206336E9	3.2	1.3	Generation 3.
39	48	1	1	2.705415266769033E10	2.16872327391899E10	1.0155499129984956E9	4.351370015501932E9	1.3554520461993687E10	9.232271936349959E8	1.318596974394525E9	4.0	0.8	Generation 3.
40	49	1	1	3.1945134118080566E10	2.593885329930081E10	4.767243522387443E8	5.52955646654101E9	1.6211783312063007E10	4.333857747624948E8	1.675623171679094E9	2.2	0.6	Generation 4.
40	50	1	1	2.4352864527099056E10	1.8796610109670403E10	1.787252324127649E9	3.7690020933010063E9	1.1747881318544E10	1.6247748401160445E9	1.1421218464548504E9	4.8	1.0	Generation 4.
41	51	1	1	2.8244249254310055E10	2.2951496950643955E10	8.149010879355036E8	4.477851215730595E9	1.4344685594152472E10	7.408191708504578E8	1.3569246108274531E9	2.9	0.9	Generation 4.
42	52	1	1	2.7025634983960075E10	2.166118878964633E10	1.0230794902156959E9	4.341366704098051E9	1.3538242993528955E10	9.300722638324507E8	1.3155656679085004E9	4.6	0.7	Generation 4.
43	53	1	1	2.345604723351951E10	1.5355472841209694E10	4.842140317584393E9	3.258434074725424E9	9.597170525756058E9	4.401945743258538E9	9.874042650683103E8	4.6	1.7	Generation 4.
44	54	1	1	2.4608611075700287E10	1.4723599755995539E10	6.638789017358883E9	3.2462223023458614E9	9.202249847497211E9	6.03526274305353E9	9.837037279835944E8	5.6	1.6	Generation 4.
45	55	1	1	2.8159772366087696E10	2.2986335143520893E10	8.043307291791826E8	4.369106493387619E9	1.4366459464700558E10	7.312097537992569E8	1.323971664662915E9	2.6	1.0	Generation 4.
46	56	1	1	2.405025885120942E10	1.8790110296923996E10	1.7622302658919287E9	3.4979182883934956E9	1.1743818935577497E10	1.6020275144472077E9	1.05997523890712E9	3.2	1.5	Generation 4.
47	57	1	1	2.4636928742962852E10	1.9716346451439148E10	1.4325719350272522E9	3.4880103564964542E9	1.2322716532149467E10	1.3023381227520473E9	1.0569728353019558E9	2.5	1.7	Generation 4.
48	58	1	1	2.7386458635521515E10	2.2017038206215107E10	9.591637089153118E8	4.410256720391097E9	1.3760648878884441E10	8.719670081048288E8	1.3364414304215446E9	3.8	0.8	Generation 4.
49	59	1	1	2.6250403608761967E10	2.109994609931803E10	1.1135697251076195E9	4.036887784336315E9	1.3187466312073769E10	1.0123361137341995E9	1.2232993285867622E9	3.5	1.0	Generation 4.
49	60	1	1	2.3799816251824757E10	1.505151239417959E10	5.523825950666298E9	3.2244779069788694E9	9.407195246362244E9	5.021659955151179E9	9.771145172663242E8	4.6	1.8	Generation 4.
50	61	1	1	3.063723611306184E10	2.503253211642627E10	5.688742833233615E8	5.03582971331221E9	1.5645332572766418E10	5.1715843938487405E8	1.526009004034003E9	1.9	0.9	Generation 4.
51	62	1	1	2.661625931808327E10	2.124214224655825E10	1.103375413655975E9	4.270741657869045E9	1.3276338904098906E10	1.0030685578690683E9	1.2941641387481954E9	4.9	0.7	Generation 4.
51	63	1	1	2.4930752246909943E10	1.9874397959428078E10	1.397711527600957E9	3.6586427598809085E9	1.2421498724642548E10	1.270646843273597E9	1.108679624206336E9	3.2	1.3	Generation 4.
52	64	1	1	2.4472055879170223E10	1.908565983893698E10	1.6684291538778253E9	3.717966886355417E9	1.1928537399335613E10	1.5167537762525682E9	1.1266566322289143E9	4.2	1.1	Generation 4.
53	65	1	1	2.906689304182638E10	2.358978199719378E10	7.38360189579444E8	4.738750855053157E9	1.474361374824611E10	6.712365359813128E8	1.4359851075918658E9	2.9	0.8	Generation 5.
53	66	1	1	2.4352864527099056E10	1.8796610109670403E10	1.787252324127649E9	3.7690020933010063E9	1.1747881318544E10	1.6247748401160445E9	1.1421218464548504E9	4.8	1.0	Generation 5.
54	67	1	1	2.723282144375097E10	2.198349008193027E10	9.577348844246687E8	4.2915964773960314E9	1.3739681301206419E10	8.706680767496988E8	1.3004837810291004E9	3.4	0.9	Generation 5.
55	68	1	1	2.601890064055523E10	2.0727818637035446E10	1.2022430319848382E9	4.088838971534946E9	1.2954886648147154E10	1.0929482108953073E9	1.2390421125863473E9	4.1	0.9	Generation 5.
56	69	1	1	2.3063830759626385E10	1.6130632240987736E10	3.611292844178648E9	3.3219056744600034E9	1.0081645150617334E10	3.2829934947078614E9	1.0066380831696981E9	4.3	1.6	Generation 5.
57	70	1	1	2.375407885284942E10	1.518910196667317E10	5.265222001160032E9	3.2997548850162168E9	9.49318872917073E9	4.786565455600029E9	9.999257227321869E8	5.4	1.5	Generation 5.
58	71	1	1	2.7210456058062103E10	2.2192132853479385E10	9.112399466159958E8	4.1070832579667196E9	1.3870083033424614E10	8.28399951469087E8	1.2445706842323394E9	2.7	1.1	Generation 5.
59	72	1	1	2.3225892406312275E10	1.7382406528565224E10	2.4582544887164536E9	3.385231389030599E9	1.0864004080353264E10	2.2347768079240484E9	1.0258276936456361E9	3.6	1.6	Generation 5.
60	73	1	1	2.3531171409671677E10	1.806414048689503E10	2.074943714804201E9	3.392087207972447E9	1.1290087804309393E10	1.8863124680038188E9	1.0279052145371052E9	3.1	1.7	Generation 5.
61	74	1	1	2.5893349377196846E10	2.071322059119044E10	1.1977361155461543E9	3.9823926704602494E9	1.2945762869494024E10	1.0888510141328673E9	1.2067856577152271E9	3.7	1.0	Generation 5.
62	75	1	1	2.4470045961954365E10	1.9184966768887886E10	1.6263810624803247E9	3.658698130586155E9	1.1990604230554928E10	1.4785282386184769E9	1.1086964032079258E9	3.8	1.2	Generation 5.
62	76	1	1	2.3799816251824757E10	1.505151239417959E10	5.523825950666298E9	3.2244779069788694E9	9.407195246362244E9	5.021659955151179E9	9.771145172663242E8	4.6	1.8	Generation 5.
63	77	1	1	2.914032998312184E10	2.3765409841072567E10	7.11903679685694E8	4.663016462363581E9	1.4853381150670353E10	6.471851633506309E8	1.4130352916253276E9	2.5	0.9	Generation 5.
64	78	1	1	2.574229659266377E10	2.02969342507738E10	1.315572533027866E9	4.129789808862102E9	1.2685583906733624E10	1.1959750300253325E9	1.25145145723094E9	4.9	0.8	Generation 5.
65	79	1	1	2.475122782179444E10	1.964516088803769E10	1.4671346467105305E9	3.638932287046224E9	1.2278225555023556E10	1.3337587697368457E9	1.102706753650371E9	3.3	1.3	Generation 5.
66	80	1	1	2.3455149329292027E10	1.762373668862661E10	2.33182960711095E9	3.499583033554467E9	1.101483543039163E10	2.1198450973735907E9	1.0604797071377174E9	4.3	1.3	Generation 5.
67	81	1	1	2.663151433491896E10	2.1498156495164593E10	1.035303195417436E9	4.0980546443369346E9	1.3436347809477869E10	9.411847231067599E8	1.241834740708162E9	3.3	1.0	Generation 6.
68	82	1	1	2.3720532471506058E10	1.7910476885029186E10	2.188410649812583E9	3.6216449366642876E9	1.1194048053143242E10	1.9894642271023479E9	1.0974681626255417E9	4.9	1.1	Generation 6.
69	83	1	1	2.6683344755892822E10	2.1430453314621643E10	1.055394225255398E9	4.1974972160157814E9	1.3394033321638525E10	9.594492956867254E8	1.2719688533381157E9	3.7	0.9	Generation 6.
70	84	1	1	2.5560865489638863E10	2.0337958912647366E10	1.2884475353712318E9	3.9344590416202655E9	1.2711224320404602E10	1.1713159412465742E9	1.1922603156425047E9	3.9	1.0	Generation 6.
71	85	1	1	2.3033019050822598E10	1.6283100708176935E10	3.420105615393759E9	3.3298127272519045E9	1.0176937942610584E10	3.109186923085235E9	1.0090341597733045E9	4.2	1.6	Generation 6.
72	86	1	1	2.3524154161705788E10	1.5388172522518568E10	4.824913259807654E9	3.311068379379567E9	9.617607826574104E9	4.386284781643322E9	1.0033540543574446E9	5.2	1.5	Generation 6.
73	87	1	1	2.632467303027996E10	2.13908430285109E10	1.0436992127472258E9	3.8901307890218353E9	1.3369276892819311E10	9.488174661338415E8	1.1788275118247986E9	2.8	1.2	Generation 6.
74	88	1	1	2.308839773816748E10	1.697906720396374E10	2.74404578828703E9	3.365284745916708E9	1.0611917002477337E10	2.4945870802609363E9	1.0197832563383964E9	3.8	1.6	Generation 6.
75	89	1	1	2.3179597868374233E10	1.7352047427746567E10	2.471234961189833E9	3.3563154794378314E9	1.0845029642341604E10	2.2465772374453025E9	1.0170652967993429E9	3.4	1.7	Generation 6.
76	90	1	1	2.537314977333391E10	2.023126423564944E10	1.309617432523565E9	3.8322681051609073E9	1.2644540147280901E10	1.1905613022941499E9	1.161293365200275E9	3.6	1.1	Generation 6.
77	91	1	1	2.3752084039056835E10	1.8179548834217426E10	2.0390647248882227E9	3.5334704799511876E9	1.1362218021385891E10	1.8536952044438386E9	1.0707486302882388E9	4.0	1.3	Generation 6.
78	92	1	1	2.3637548599832222E10	1.5159689338285416E10	5.248099078899936E9	3.229760182646871E9	9.474805836428385E9	4.770999162636305E9	9.787152068626883E8	4.5	1.8	Generation 6.
78	93	1	1	2.8244249254310055E10	2.2951496950643955E10	8.149010879355036E8	4.477851215730595E9	1.4344685594152472E10	7.408191708504578E8	1.3569246108274531E9	2.9	0.9	Generation 6.
78	94	1	1	2.574229659266377E10	2.02969342507738E10	1.315572533027866E9	4.129789808862102E9	1.2685583906733624E10	1.1959750300253325E9	1.25145145723094E9	4.9	0.8	Generation 6.
79	95	1	1	2.4581202844972706E10	1.942081729318512E10	1.5398525421902318E9	3.6205330095973563E9	1.21380108082407E10	1.3998659474456651E9	1.097131215029502E9	3.4	1.3	Generation 6.
80	96	1	1	2.3187837300812447E10	1.7062063494318745E10	2.6957881752222457E9	3.429985631271458E9	1.0663789683949215E10	2.450716522929314E9	1.0393895852337753E9	4.3	1.4	Generation 6.
81	97	1	1	2.554796544818332E10	2.0435017020218746E10	1.2577207912295804E9	3.855227636734995E9	1.2771885637636715E10	1.1433825374814367E9	1.1682507990106046E9	3.5	1.1	Generation 7.
82	98	1	1	2.3298455592227505E10	1.7098179585298063E10	2.687499989435109E9	3.5127760174943314E9	1.0686362240811289E10	2.4431818085773716E9	1.0644775810588883E9	5.0	1.2	Generation 7.
83	99	1	1	2.6178200393976334E10	2.090004127977282E10	1.1637780045853758E9	4.1143811096181383E9	1.3062525799858011E10	1.0579800041685233E9	1.246782154429739E9	4.0	0.9	Generation 7.
84	100	1	1	2.5044232121371243E10	1.9834581966185863E10	1.419419321592683E9	3.7902308335926967E9	1.2396613728866163E10	1.2903812014478936E9	1.148554798058393E9	3.8	1.1	Generation 7.
84	101	1	1	2.3033019050822598E10	1.6283100708176935E10	3.420105615393759E9	3.3298127272519045E9	1.0176937942610584E10	3.109186923085235E9	1.0090341597733045E9	4.2	1.6	Generation 7.
85	102	1	1	2.334455897163483E10	1.5610835252182915E10	4.410353739348767E9	3.3233699801031485E9	9.75677203261432E9	4.009412490317061E9	1.0070818121524693E9	5.0	1.5	Generation 7.
86	103	1	1	2.5320641451528393E10	2.0348540029925835E10	1.2697330187745306E9	3.7023684028280263E9	1.2717837518703646E10	1.1543027443404822E9	1.121929819038796E9	3.0	1.3	Generation 7.
87	104	1	1	2.3045912883421963E10	1.6790944354021437E10	2.8991812533588157E9	3.3557872760417113E9	1.0494340221263397E10	2.6356193212352867E9	1.016905235164155E9	3.9	1.6	Generation 7.
88	105	1	1	2.3039352739499638E10	1.6925956976322952E10	2.7778929392198844E9	3.335502823956803E9	1.0578723110201845E10	2.525357217472622E9	1.0107584315020615E9	3.6	1.7	Generation 7.
89	106	1	1	2.4938091983303196E10	1.9801480227765884E10	1.4236740159474435E9	3.7129377395898657E9	1.2375925142353678E10	1.2942491054067667E9	1.1251326483605654E9	3.5	1.2	Generation 7.
90	107	1	1	2.3316636325351357E10	1.741773538614738E10	2.449301972824009E9	3.449598966379965E9	1.0886084616342113E10	2.2266381571127353E9	1.0453330201151409E9	4.1	1.4	Generation 7.
91	108	1	1	2.3492507907300713E10	1.5276580414052275E10	4.98077186967569E9	3.235155623572746E9	9.547862758782671E9	4.5279744269779E9	9.803501889614382E8	4.4	1.8	Generation 7.
92	109	1	1	2.703777558705466E10	2.1908875774787735E10	9.631603594614319E8	4.1657394528054934E9	1.3693047359242334E10	8.756003267831198E8	1.2623452887289374E9	3.1	1.0	Generation 7.
93	110	1	1	2.4917608043792114E10	1.9434997967670376E10	1.5608894072865894E9	3.9217206688351474E9	1.2146873729793985E10	1.4189903702605357E9	1.1884002026773174E9	4.9	0.9	Generation 7.
94	111	1	1	2.426868275518925E10	1.8987189129112286E10	1.6938850608320298E9	3.587608565244934E9	1.1866993205695177E10	1.5398955098472998E9	1.087154110680283E9	3.6	1.3	Generation 7.
94	112	1	1	2.3187837300812447E10	1.7062063494318745E10	2.6957881752222457E9	3.429985631271458E9	1.0663789683949215E10	2.450716522929314E9	1.0393895852337753E9	4.3	1.4	Generation 7.
95	113	1	1	2.4773920702821815E10	1.9591737924979866E10	1.4885604765001874E9	3.6936223013417616E9	1.2244836203112415E10	1.353236796818352E9	1.1192794852550793E9	3.6	1.2	Generation 8.
95	114	1	1	2.3298455592227505E10	1.7098179585298063E10	2.687499989435109E9	3.5127760174943314E9	1.0686362240811289E10	2.4431818085773716E9	1.0644775810588883E9	5.0	1.2	Generation 8.
95	115	1	1	2.601890064055523E10	2.0727818637035446E10	1.2022430319848382E9	4.088838971534946E9	1.2954886648147154E10	1.0929482108953073E9	1.2390421125863473E9	4.1	0.9	Generation 8.
95	116	1	1	2.4470045961954365E10	1.9184966768887886E10	1.6263810624803247E9	3.658698130586155E9	1.1990604230554928E10	1.4785282386184769E9	1.1086964032079258E9	3.8	1.2	Generation 8.
95	117	1	1	2.3033019050822598E10	1.6283100708176935E10	3.420105615393759E9	3.3298127272519045E9	1.0176937942610584E10	3.109186923085235E9	1.0090341597733045E9	4.2	1.6	Generation 8.
96	118	1	1	2.3269992434345356E10	1.5729454800111382E10	4.210640326849781E9	3.3298973073841925E9	9.830909250069613E9	3.8278548425907097E9	1.009059790116422E9	4.9	1.5	Generation 8.
97	119	1	1	2.512144588039164E10	2.0109347578971035E10	1.3323400582992153E9	3.679758243121393E9	1.2568342236856895E10	1.2112182348174684E9	1.1150782554913313E9	3.1	1.3	Generation 8.
97	120	1	1	2.3045912883421963E10	1.6790944354021437E10	2.8991812533588157E9	3.3557872760417113E9	1.0494340221263397E10	2.6356193212352867E9	1.016905235164155E9	3.9	1.6	Generation 8.
98	121	1	1	2.299980654814319E10	1.6728746053012886E10	2.945221681702031E9	3.3258388134282727E9	1.0455466283133053E10	2.6774742560927553E9	1.0078299434631131E9	3.7	1.7	Generation 8.
99	122	1	1	2.4421033601200592E10	1.9201997090056587E10	1.6155485131755576E9	3.6034879979684477E9	1.2001248181285366E10	1.4686804665232341E9	1.0919660599904387E9	3.5	1.3	Generation 8.
99	123	1	1	2.3316636325351357E10	1.741773538614738E10	2.449301972824009E9	3.449598966379965E9	1.0886084616342113E10	2.2266381571127353E9	1.0453330201151409E9	4.1	1.4	Generation 8.
100	124	1	1	2.336766712424542E10	1.5403301001797255E10	4.723310636777407E9	3.241055485670757E9	9.627063126123283E9	4.2939187607067327E9	9.821380259608355E8	4.3	1.8	Generation 8.
101	125	1	1	2.611388575715213E10	2.1066690743964523E10	1.1138732150815854E9	3.9333217981060214E9	1.3166681714977825E10	1.0126120137105321E9	1.191915696395764E9	3.2	1.1	Generation 8.
101	126	1	1	2.4917608043792114E10	1.9434997967670376E10	1.5608894072865894E9	3.9217206688351474E9	1.2146873729793985E10	1.4189903702605357E9	1.1884002026773174E9	4.9	0.9	Generation 8.
102	127	1	1	2.4126046894091843E10	1.877783818606439E10	1.7754741321935334E9	3.5727345758339205E9	1.1736148866290243E10	1.614067392903212E9	1.0826468411617942E9	3.7	1.3	Generation 8.
102	128	1	1	2.3187837300812447E10	1.7062063494318745E10	2.6957881752222457E9	3.429985631271458E9	1.0663789683949215E10	2.450716522929314E9	1.0393895852337753E9	4.3	1.4	Generation 8.
103	129	1	1	2.3992297306410275E10	1.857329102644505E10	1.859890517159345E9	3.5591157628058815E9	1.1608306891528156E10	1.6908095610539498E9	1.0785199281229944E9	3.8	1.3	Generation 9.
104	130	1	1	2.3149606579794506E10	1.6527124164275284E10	3.186530562193593E9	3.43595185332563E9	1.0329452602672052E10	2.896845965630539E9	1.0411975313107971E9	5.0	1.3	Generation 9.
105	131	1	1	2.483336071001992E10	1.945202901628393E10	1.5470042627342691E9	3.8343274310017185E9	1.2157518135177456E10	1.4063675115766082E9	1.1619174033338542E9	4.4	1.0	Generation 9.
103	132	1	1	2.3992297306410275E10	1.857329102644505E10	1.859890517159345E9	3.5591157628058815E9	1.1608306891528156E10	1.6908095610539498E9	1.0785199281229944E9	3.8	1.3	Generation 9.
106	133	1	1	2.3024097372202084E10	1.6613505628500181E10	3.0639061132187185E9	3.346685630483184E9	1.0383441017812613E10	2.7853691938351984E9	1.01414716075248E9	4.0	1.6	Generation 9.
107	134	1	1	2.3154412130297615E10	1.598447076165329E10	3.8261271441333747E9	3.343814224510951E9	9.990294226033306E9	3.478297403757613E9	1.0132770377305913E9	4.7	1.5	Generation 9.
108	135	1	1	2.4131633555082115E10	1.885637183680638E10	1.7398558821437986E9	3.535405836131933E9	1.1785232398003988E10	1.5816871655852714E9	1.0713351018581616E9	3.4	1.4	Generation 9.
106	136	1	1	2.3024097372202084E10	1.6613505628500181E10	3.0639061132187185E9	3.346685630483184E9	1.0383441017812613E10	2.7853691938351984E9	1.01414716075248E9	4.0	1.6	Generation 9.
108	137	1	1	2.299980654814319E10	1.6728746053012886E10	2.945221681702031E9	3.3258388134282727E9	1.0455466283133053E10	2.6774742560927553E9	1.0078299434631131E9	3.7	1.7	Generation 9.
109	138	1	1	2.3847911101439022E10	1.8417294315617874E10	1.9232052571091619E9	3.5074115287119865E9	1.1510808947261171E10	1.7483684155537834E9	1.0628519783975718E9	3.6	1.4	Generation 9.
