GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Sun Dec 23 18:16:30 GMT 2018

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	Es_tot	Es_heat	Es_cool	Es_light	Q_heat	Q_cool	E_lights	windowLength	windowWidth	beamS
25	30	1	1	2.390659130382657E10	1.7576245920112335E10	2.304930266943514E9	4.0254151167707214E9	1.098515370007021E10	2.0953911517668307E9	1.2198227626577945E9	6.2	0.7	40.0	Generation 2.
26	31	1	1	2.7771197474158394E10	2.203997129214561E10	1.0464252027649245E9	4.684800979247858E9	1.3774982057591005E10	9.512956388772041E8	1.419636660378139E9	1.7	1.1	25.0	Generation 2.
27	32	1	1	2.8620789545227512E10	2.2458277545077076E10	1.0087033484141122E9	5.153808651736324E9	1.4036423465673172E10	9.170030440128292E8	1.5617601974958558E9	5.6	0.3	55.0	Generation 2.
28	33	1	1	2.797762950849861E10	2.190834282185849E10	1.0888446942889924E9	4.980441992351127E9	1.3692714263661556E10	9.898588129899931E8	1.5092248461670082E9	3.2	0.6	20.0	Generation 3.
28	34	1	1	2.330343881911595E10	1.6905798432733381E10	2.6286382930815625E9	3.7690020933010063E9	1.0566124020458363E10	2.389671175528693E9	1.1421218464548504E9	4.8	1.0	25.0	Generation 3.
29	35	1	1	2.803975585392904E10	2.1402359959411274E10	3.093516448596106E9	3.5438794459216585E9	1.3376474974632046E10	2.8122876805419145E9	1.0739028624005027E9	3.5	1.6	15.0	Generation 3.
30	36	1	1	2.3350293322515068E10	1.4429899566594069E10	5.490281937761132E9	3.430111818159865E9	9.018687229121292E9	4.991165397964665E9	1.0394278236848075E9	6.1	1.2	70.0	Generation 3.
30	37	1	1	2.291294197670649E10	1.541164180195848E10	3.885749048479311E9	3.6155511262687E9	9.63227612622405E9	3.5324991349811916E9	1.0956215534147577E9	6.1	1.0	35.0	Generation 3.
31	38	1	1	2.3346053431572956E10	1.7150016490601316E10	2.4780700546162233E9	3.717966886355417E9	1.0718760306625822E10	2.252790958742021E9	1.1266566322289143E9	4.2	1.1	25.0	Generation 3.
32	39	1	1	2.4470588686332233E10	1.6905603887247139E10	4.1660508594939284E9	3.398933939591168E9	1.056600242952946E10	3.787318963176298E9	1.0299799816942934E9	4.3	1.5	20.0	Generation 3.
33	40	1	1	2.557808651272088E10	1.9625464155448975E10	1.5604587412912228E9	4.392163615980682E9	1.226591509715561E10	1.4185988557192934E9	1.3309586715092978E9	4.4	0.7	50.0	Generation 3.
34	41	1	1	2.5049939115871826E10	1.9045758716520645E10	1.7331284620097954E9	4.2710519373413835E9	1.1903599197825403E10	1.575571329099814E9	1.2942581628307223E9	5.7	0.6	45.0	Generation 3.
35	42	1	1	2.381409166548007E10	1.7759138353055676E10	2.183473444033809E9	3.8714798683905845E9	1.1099461470659796E10	1.9849758582125537E9	1.1731757176941166E9	4.2	1.0	35.0	Generation 3.
35	43	1	1	2.2878216702471703E10	1.6574206791963835E10	2.796561832466481E9	3.5074480780413837E9	1.0358879244977396E10	2.5423289386058917E9	1.0628630539519346E9	3.6	1.4	20.0	Generation 3.
36	44	1	1	2.5704189471992023E10	1.9678490441705185E10	1.985962385354868E9	4.0397366449319735E9	1.229905652606574E10	1.805420350322607E9	1.2241626196763556E9	3.9	1.0	10.0	Generation 3.
37	45	1	1	2.7139165072566135E10	2.116967262855343E10	1.2157149840828953E9	4.753777459929814E9	1.3231045392845892E10	1.1051954400753593E9	1.440538624221156E9	3.8	0.6	45.0	Generation 3.
38	46	1	1	2.375950730149319E10	1.7356123018724133E10	2.4053158888301105E9	3.998068393938946E9	1.0847576886702583E10	2.186650808027373E9	1.2115358769511957E9	5.6	0.8	35.0	Generation 3.
39	47	1	1	2.5056991106904472E10	1.9560791065053482E10	1.535005019841884E9	3.9611950220091047E9	1.2225494415658426E10	1.3954591089471672E9	1.200362127881547E9	2.6	1.2	25.0	Generation 3.
40	48	1	1	2.6341644567683918E10	2.0408220266157604E10	1.3684524764999306E9	4.564971825026383E9	1.2755137666348501E10	1.2440477059090278E9	1.3833247954625406E9	3.8	0.7	40.0	Generation 3.
41	49	1	1	2.454387766836137E10	1.8446228402873325E10	1.9239879363613591E9	4.173661329126687E9	1.1528892751795828E10	1.74907994214669E9	1.2647458573111174E9	4.7	0.8	30.0	Generation 4.
41	50	1	1	2.330343881911595E10	1.6905798432733381E10	2.6286382930815625E9	3.7690020933010063E9	1.0566124020458363E10	2.389671175528693E9	1.1421218464548504E9	4.8	1.0	25.0	Generation 4.
42	51	1	1	2.2796880512229828E10	1.6215492052567265E10	3.0597115111891294E9	3.521676948473436E9	1.013468253285454E10	2.7815559192628446E9	1.0671748328707383E9	4.1	1.3	20.0	Generation 4.
43	52	1	1	2.3079525715434624E10	1.6156211276967354E10	3.159431789654938E9	3.763882648812332E9	1.0097632048104595E10	2.8722107178681254E9	1.1405704996401007E9	6.0	0.9	65.0	Generation 4.
43	53	1	1	2.291294197670649E10	1.541164180195848E10	3.885749048479311E9	3.6155511262687E9	9.63227612622405E9	3.5324991349811916E9	1.0956215534147577E9	6.1	1.0	35.0	Generation 4.
44	54	1	1	2.3068801761961224E10	1.6389825811691935E10	2.9655961704763384E9	3.7133797797929482E9	1.0243641132307459E10	2.695996518614853E9	1.125266599937257E9	5.2	1.0	30.0	Generation 4.
45	55	1	1	2.286966569060694E10	1.5885778842776026E10	3.5677692416892347E9	3.41611760614168E9	9.928611776735016E9	3.2434265833538494E9	1.0351871533762666E9	3.9	1.5	20.0	Generation 4.
46	56	1	1	2.3988914246266075E10	1.770384497846273E10	2.2347730266057324E9	4.0502962411976123E9	1.1064903111539206E10	2.0316118423688474E9	1.22736249733261E9	5.3	0.8	40.0	Generation 4.
47	57	1	1	2.3562798223881985E10	1.702399206440951E10	2.5874671267014484E9	3.9513390327710257E9	1.0639995040255943E10	2.352242842455862E9	1.1973754644760685E9	5.9	0.8	40.0	Generation 4.
48	58	1	1	2.322369756736164E10	1.7065156810223E10	2.516002185245932E9	3.6425385718927097E9	1.0665723006389374E10	2.287274713859938E9	1.103799567240215E9	3.9	1.2	30.0	Generation 4.
48	59	1	1	2.2878216702471703E10	1.6574206791963835E10	2.796561832466481E9	3.5074480780413837E9	1.0358879244977396E10	2.5423289386058917E9	1.0628630539519346E9	3.6	1.4	20.0	Generation 4.
49	60	1	1	2.3312755337973595E10	1.7229997860450195E10	2.4240326213425117E9	3.65872485618089E9	1.0768748662781372E10	2.203666019402283E9	1.108704501872997E9	3.8	1.2	15.0	Generation 4.
50	61	1	1	2.4915817845158165E10	1.889172328172861E10	1.775617642275969E9	4.248476921153584E9	1.1807327051080381E10	1.6141978566145172E9	1.2874172488344195E9	5.0	0.7	40.0	Generation 4.
51	62	1	1	2.3489907612689976E10	1.7072278413561588E10	2.5449568224501314E9	3.8726723766782575E9	1.0670174008475992E10	2.313597111318301E9	1.1735370838418963E9	5.2	0.9	30.0	Generation 4.
52	63	1	1	2.374188230002336E10	1.8018034987795704E10	2.0440619784007928E9	3.679785333826868E9	1.1261271867372314E10	1.8582381621825387E9	1.1150864647960207E9	3.1	1.3	25.0	Generation 4.
53	64	1	1	2.518455507978656E10	1.9328903536163345E10	1.6279927419498599E9	4.2276588016733537E9	1.208056471010209E10	1.4799934017725997E9	1.2811087277798042E9	3.6	0.9	40.0	Generation 4.
54	65	1	1	2.330199475192623E10	1.6711895736263807E10	2.761585706990721E9	3.828513308671702E9	1.0444934835164879E10	2.5105324609006553E9	1.160155548082334E9	5.5	0.9	35.0	Generation 5.
55	66	1	1	2.3375883947180344E10	1.704156364518436E10	2.549864899404121E9	3.784455402591862E9	1.0650977278240225E10	2.3180589994582915E9	1.1468046674520795E9	4.7	1.0	25.0	Generation 5.
56	67	1	1	2.292795308350762E10	1.6428683367914219E10	2.912713772932592E9	3.5865559426608114E9	1.0267927104946386E10	2.6479216117569017E9	1.0868351341396399E9	4.3	1.2	20.0	Generation 5.
57	68	1	1	2.3198277210363255E10	1.6482261570207212E10	2.914667221538231E9	3.801348418617808E9	1.0301413481379507E10	2.649697474125664E9	1.1519237632175176E9	5.7	0.9	55.0	Generation 5.
57	69	1	1	2.291294197670649E10	1.541164180195848E10	3.885749048479311E9	3.6155511262687E9	9.63227612622405E9	3.5324991349811916E9	1.0956215534147577E9	6.1	1.0	35.0	Generation 5.
58	70	1	1	2.2822871934148495E10	1.555712478114503E10	3.696279762878071E9	3.569467390125392E9	9.723202988215643E9	3.360254329889155E9	1.0816567848864825E9	5.4	1.1	30.0	Generation 5.
59	71	1	1	2.2806981634657692E10	1.5971379588401447E10	3.40902872520985E9	3.4265733210463963E9	9.982112242750904E9	3.099117022918045E9	1.0383555518322414E9	3.8	1.5	20.0	Generation 5.
60	72	1	1	2.2987765122351326E10	1.6149730460352814E10	3.1492077836639166E9	3.688826878334594E9	1.0093581537720509E10	2.8629161669671965E9	1.1178263267680588E9	5.4	1.0	35.0	Generation 5.
61	73	1	1	2.3079525715434624E10	1.6156211276967354E10	3.159431789654938E9	3.763882648812332E9	1.0097632048104595E10	2.8722107178681254E9	1.1405704996401007E9	6.0	0.9	40.0	Generation 5.
62	74	1	1	2.3067567841960316E10	1.6882329601976627E10	2.6124721731331515E9	3.572766066850537E9	1.0551456001235392E10	2.3749747028483195E9	1.082656383894102E9	3.7	1.3	25.0	Generation 5.
62	75	1	1	2.2878216702471703E10	1.6574206791963835E10	2.796561832466481E9	3.5074480780413837E9	1.0358879244977396E10	2.5423289386058917E9	1.0628630539519346E9	3.6	1.4	20.0	Generation 5.
63	76	1	1	2.344797432685456E10	1.7249088423951046E10	2.6124583761532307E9	3.5864275267502823E9	1.0780680264969404E10	2.3749621601393003E9	1.0867962202273583E9	3.7	1.3	15.0	Generation 5.
64	77	1	1	2.383248605865631E10	1.7470375712342216E10	2.3473312934012322E9	4.0147790529128613E9	1.0918984820213884E10	2.1339375394556653E9	1.2165997130038974E9	5.5	0.8	35.0	Generation 5.
65	78	1	1	2.3236575467103065E10	1.6772728659833633E10	2.709660544496509E9	3.7541862627729216E9	1.048295541239602E10	2.463327767724099E9	1.1376322008402793E9	4.9	1.0	30.0	Generation 5.
66	79	1	1	2.336439212980931E10	1.743028213047524E10	2.313547661244799E9	3.6205623380892696E9	1.0893926331547024E10	2.103225146586181E9	1.097140102451294E9	3.4	1.3	25.0	Generation 5.
67	80	1	1	2.4142429258854763E10	1.822200783187962E10	1.9859623853548772E9	3.9344590416202655E9	1.1388754894924763E10	1.8054203503226156E9	1.1922603156425047E9	3.9	1.0	45.0	Generation 5.
68	81	1	1	2.2901862241407806E10	1.5607172044270493E10	3.660029006013323E9	3.6346611911239924E9	9.754482527669058E9	3.3272990963757477E9	1.1014124821587856E9	5.9	1.0	35.0	Generation 6.
69	82	1	1	2.3051495839124947E10	1.655847962559855E10	2.83384265382641E9	3.659173559699986E9	1.0349049765999094E10	2.5762205943876452E9	1.1088404726363595E9	4.6	1.1	25.0	Generation 6.
70	83	1	1	2.2989321647486153E10	1.6581209251937904E10	2.8087939334692144E9	3.599318462079033E9	1.036325578246119E10	2.5534490304265585E9	1.0907025642663736E9	4.2	1.2	20.0	Generation 6.
71	84	1	1	2.302522272123656E10	1.6268301375325172E10	3.0560027713208137E9	3.700918574590576E9	1.0167688359578232E10	2.778184337564376E9	1.1214904771486595E9	5.3	1.0	50.0	Generation 6.
68	85	1	1	2.2901862241407806E10	1.5607172044270493E10	3.660029006013323E9	3.6346611911239924E9	9.754482527669058E9	3.3272990963757477E9	1.1014124821587856E9	5.9	1.0	35.0	Generation 6.
72	86	1	1	2.2771572001377327E10	1.5374578594824015E10	3.8930195530875063E9	3.5039738534658055E9	9.609111621765009E9	3.5391086846250052E9	1.0618102586260017E9	5.1	1.2	30.0	Generation 6.
73	87	1	1	2.275052034370047E10	1.6222963066032463E10	3.0448435715586925E9	3.482713706109314E9	1.0139351916270288E10	2.768039610507902E9	1.0553677897300953E9	3.8	1.4	20.0	Generation 6.
72	88	1	1	2.2771572001377327E10	1.5374578594824015E10	3.8930195530875063E9	3.5039738534658055E9	9.609111621765009E9	3.5391086846250052E9	1.0618102586260017E9	5.1	1.2	30.0	Generation 6.
74	89	1	1	2.291294197670649E10	1.541164180195848E10	3.885749048479311E9	3.6155511262687E9	9.63227612622405E9	3.5324991349811916E9	1.0956215534147577E9	6.1	1.0	40.0	Generation 6.
75	90	1	1	2.2849420608619747E10	1.637473354447404E10	2.941183027588371E9	3.533504036557339E9	1.0234208465296274E10	2.673802752353064E9	1.0707587989567695E9	4.0	1.3	25.0	Generation 6.
76	91	1	1	2.280823147729582E10	1.6395795632413166E10	2.9178244172233653E9	3.494611427659288E9	1.0247372270258228E10	2.652567652021241E9	1.058973159896754E9	3.7	1.4	20.0	Generation 6.
76	92	1	1	2.344797432685456E10	1.7249088423951046E10	2.6124583761532307E9	3.5864275267502823E9	1.0780680264969404E10	2.3749621601393003E9	1.0867962202273583E9	3.7	1.3	15.0	Generation 6.
77	93	1	1	2.3624595932720905E10	1.7132736800894783E10	2.5254592821357307E9	3.966399849690393E9	1.0707960500559238E10	2.295872074668846E9	1.2019393483910282E9	5.8	0.8	35.0	Generation 6.
78	94	1	1	2.3117747926145954E10	1.6703913880293488E10	2.741067627276017E9	3.6727664185764503E9	1.043994617518343E10	2.4918796611600156E9	1.1129595207807426E9	4.5	1.1	30.0	Generation 6.
78	95	1	1	2.3067567841960316E10	1.6882329601976627E10	2.6124721731331515E9	3.572766066850537E9	1.0551456001235392E10	2.3749747028483195E9	1.082656383894102E9	3.7	1.3	25.0	Generation 6.
79	96	1	1	2.3534796569030155E10	1.7320329074417267E10	2.397381652319999E9	3.817085842292889E9	1.0825205671510792E10	2.179437865745454E9	1.1566926794826937E9	4.5	1.0	50.0	Generation 6.
79	97	1	1	2.291294197670649E10	1.541164180195848E10	3.885749048479311E9	3.6155511262687E9	9.63227612622405E9	3.5324991349811916E9	1.0956215534147577E9	6.1	1.0	35.0	Generation 7.
80	98	1	1	2.277298786631652E10	1.586445902171111E10	3.3670204292209787E9	3.541508415384432E9	9.915286888569443E9	3.060927662928162E9	1.0731843682983127E9	4.7	1.2	25.0	Generation 7.
81	99	1	1	2.2670989093835365E10	1.5897311120004402E10	3.313544672035768E9	3.460133301795198E9	9.93581945000275E9	3.0123133382143345E9	1.0485252429682418E9	4.0	1.4	20.0	Generation 7.
82	100	1	1	2.28498481639857E10	1.590617229462714E10	3.3443477087382827E9	3.599328160620277E9	9.941357684141962E9	3.040316098852984E9	1.0907055032182658E9	5.1	1.1	40.0	Generation 7.
83	101	1	1	2.284700650123806E10	1.5347528582439903E10	3.948054942980987E9	3.5514229758171697E9	9.592205364024939E9	3.5891408572554426E9	1.0761887805506575E9	5.6	1.1	35.0	Generation 7.
84	102	1	1	2.270008656552774E10	1.5503861173687265E10	3.7259395305123715E9	3.4702858613281035E9	9.68991323355454E9	3.3872177550112467E9	1.0516017761600314E9	4.6	1.3	25.0	Generation 7.
84	103	1	1	2.275052034370047E10	1.6222963066032463E10	3.0448435715586925E9	3.482713706109314E9	1.0139351916270288E10	2.768039610507902E9	1.0553677897300953E9	3.8	1.4	20.0	Generation 7.
84	104	1	1	2.270008656552774E10	1.5503861173687265E10	3.7259395305123715E9	3.4702858613281035E9	9.68991323355454E9	3.3872177550112467E9	1.0516017761600314E9	4.6	1.3	25.0	Generation 7.
85	105	1	1	2.2832908269482758E10	1.5452248714399208E10	3.820407571904925E9	3.5602519831786213E9	9.657655446499504E9	3.4730977926408405E9	1.078864237326855E9	5.5	1.1	35.0	Generation 7.
86	106	1	1	2.2696770476571598E10	1.5635460497907097E10	3.581584489817492E9	3.479725488847009E9	9.772162811191935E9	3.2559858998340836E9	1.0544622693475785E9	4.5	1.3	25.0	Generation 7.
84	107	1	1	2.275052034370047E10	1.6222963066032463E10	3.0448435715586925E9	3.482713706109314E9	1.0139351916270288E10	2.768039610507902E9	1.0553677897300953E9	3.8	1.4	20.0	Generation 7.
86	108	1	1	2.2989321647486153E10	1.6581209251937904E10	2.8087939334692144E9	3.599318462079033E9	1.036325578246119E10	2.5534490304265585E9	1.0907025642663736E9	4.2	1.2	20.0	Generation 7.
87	109	1	1	2.3113892636949295E10	1.6262384422021393E10	3.075571795654291E9	3.775936419273613E9	1.016399026376337E10	2.795974359685719E9	1.1442231573556404E9	5.9	0.9	35.0	Generation 7.
88	110	1	1	2.2992193863238285E10	1.658411055531102E10	2.8087939134610586E9	3.599289394466207E9	1.0365069097069387E10	2.5534490122373257E9	1.0906937558988507E9	4.2	1.2	30.0	Generation 7.
89	111	1	1	2.29126445443709E10	1.6538941088095707E10	2.8277383318602715E9	3.5459651244149213E9	1.0336838180059816E10	2.570671210782065E9	1.0745348861863399E9	3.9	1.3	25.0	Generation 7.
90	112	1	1	2.3174628291565983E10	1.664228636129934E10	2.7923672959160676E9	3.739974634350573E9	1.0401428975812086E10	2.5385157235600615E9	1.133325646772901E9	5.0	1.0	50.0	Generation 7.
90	113	1	1	2.284700650123806E10	1.5347528582439903E10	3.948054942980987E9	3.5514229758171697E9	9.592205364024939E9	3.5891408572554426E9	1.0761887805506575E9	5.6	1.1	35.0	Generation 8.
90	114	1	1	2.270008656552774E10	1.5503861173687265E10	3.7259395305123715E9	3.4702858613281035E9	9.68991323355454E9	3.3872177550112467E9	1.0516017761600314E9	4.6	1.3	25.0	Generation 8.
90	115	1	1	2.286966569060694E10	1.5885778842776026E10	3.5677692416892347E9	3.41611760614168E9	9.928611776735016E9	3.2434265833538494E9	1.0351871533762666E9	3.9	1.5	20.0	Generation 8.
91	116	1	1	2.2757367060059093E10	1.5735021642551899E10	3.4908203884774985E9	3.5315250290296965E9	9.834388526594936E9	3.173473080434089E9	1.0701590997059687E9	4.8	1.2	30.0	Generation 8.
92	117	1	1	2.2795051063384315E10	1.526258148674488E10	4.0370686078638244E9	3.495400968775614E9	9.53911342921555E9	3.6700623707852945E9	1.0592124147804891E9	5.2	1.2	30.0	Generation 8.
93	118	1	1	2.2704032540135643E10	1.5771895467729134E10	3.4427749873452344E9	3.489362085061277E9	9.857434667330708E9	3.129795443041122E9	1.0573824500185688E9	4.4	1.3	25.0	Generation 8.
94	119	1	1	2.2704747094466465E10	1.6057141739115204E10	3.1764766897982635E9	3.471128665552998E9	1.0035713586947002E10	2.8877060816347847E9	1.0518571713796964E9	3.9	1.4	20.0	Generation 8.
93	120	1	1	2.2704032540135643E10	1.5771895467729134E10	3.4427749873452344E9	3.489362085061277E9	9.857434667330708E9	3.129795443041122E9	1.0573824500185688E9	4.4	1.3	25.0	Generation 8.
95	121	1	1	2.2758896454955246E10	1.549057766769879E10	3.755509278264358E9	3.512809508992099E9	9.681611042311743E9	3.414099343876689E9	1.0644877299976058E9	5.0	1.2	30.0	Generation 8.
96	122	1	1	2.271297398311041E10	1.5377041713128212E10	3.87470557771454E9	3.461226692267657E9	9.610651070705132E9	3.522459616104127E9	1.0488565734144415E9	4.7	1.3	25.0	Generation 8.
96	123	1	1	2.2670989093835365E10	1.5897311120004402E10	3.313544672035768E9	3.460133301795198E9	9.93581945000275E9	3.0123133382143345E9	1.0485252429682418E9	4.0	1.4	20.0	Generation 8.
97	124	1	1	2.283166127549056E10	1.6136918084827E10	3.131798062164043E9	3.562945128499515E9	1.0085573803016874E10	2.847089147421857E9	1.0796803419695501E9	4.5	1.2	25.0	Generation 8.
97	125	1	1	2.2901862241407806E10	1.5607172044270493E10	3.660029006013323E9	3.6346611911239924E9	9.754482527669058E9	3.3272990963757477E9	1.1014124821587856E9	5.9	1.0	35.0	Generation 8.
98	126	1	1	2.275472484468126E10	1.6062163249740509E10	3.182188506066965E9	3.510373088873789E9	1.0038852031087818E10	2.892898641879059E9	1.0637494208708452E9	4.2	1.3	30.0	Generation 8.
98	127	1	1	2.2849420608619747E10	1.637473354447404E10	2.941183027588371E9	3.533504036557339E9	1.0234208465296274E10	2.673802752353064E9	1.0707587989567695E9	4.0	1.3	25.0	Generation 8.
99	128	1	1	2.3068801761961224E10	1.6389825811691935E10	2.9655961704763384E9	3.7133797797929482E9	1.0243641132307459E10	2.695996518614853E9	1.125266599937257E9	5.2	1.0	50.0	Generation 8.
99	129	1	1	2.2795051063384315E10	1.526258148674488E10	4.0370686078638244E9	3.495400968775614E9	9.53911342921555E9	3.6700623707852945E9	1.0592124147804891E9	5.2	1.2	30.0	Generation 9.
99	130	1	1	2.2704032540135643E10	1.5771895467729134E10	3.4427749873452344E9	3.489362085061277E9	9.857434667330708E9	3.129795443041122E9	1.0573824500185688E9	4.4	1.3	25.0	Generation 9.
99	131	1	1	2.286966569060694E10	1.5885778842776026E10	3.5677692416892347E9	3.41611760614168E9	9.928611776735016E9	3.2434265833538494E9	1.0351871533762666E9	3.9	1.5	20.0	Generation 9.
99	132	1	1	2.2696770476571598E10	1.5635460497907097E10	3.581584489817492E9	3.479725488847009E9	9.772162811191935E9	3.2559858998340836E9	1.0544622693475785E9	4.5	1.3	25.0	Generation 9.
